reaction_id,equation,gpr,g0,data_type
ICDHyr,icit_c + nadp_c --> akg_c + co2_c + nadph_c,Cgl0664,5.4,eQuilibrator_API
MDH,mal__L_c + nad_c --> h_c + nadh_c + oaa_c,Cgl2380,25.38,eQuilibrator_API
MDH2,mal__L_c + q8_c --> oaa_c + q8h2_c,Cgl2001,-105.0,eQuilibrator_API
MDH3,mal__L_c + mqn8_c --> mql8_c + oaa_c,Cgl2380,3.0,eQuilibrator_API
PYRC,atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,Cgl0689,-7.8,eQuilibrator_API
SUCOAS,adp_c + pi_c + succoa_c --> atp_c + coa_c + succ_c,Cgl2566 and Cgl2565,1.8,eQuilibrator_API
2MAHMP,2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c,Cgl1176,-35.0,eQuilibrator_API
ADCL,4adcho_c --> 4abz_c + h_c + pyr_c,Cgl2580,-92.0,eQuilibrator_API
ADCS,chor_c + gln__L_c --> 4adcho_c + glu__L_c,Cgl0997,-18.5,eQuilibrator_API
ALATA_D2,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,Cgl0996,0.9,eQuilibrator_API
ALATA_L2,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,Cgl0996,0.9,eQuilibrator_API
AMAOTr,8aonn_c + amet_c --> amob_c + dann_c,Cgl2604,-1.774850272743,eQuilibrator_API
AMPMS2,air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c,Cgl1305,-186.0,eQuilibrator_API
ASP1DC,asp__L_c + h_c --> ala_B_c + co2_c,Cgl0135,-15.0,eQuilibrator_API
ASPO5,asp__L_c + fum_c --> h_c + iasp_c + succ_c,,0.1,eQuilibrator_API
CDPMEK,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,Cgl0911,-9.0,eQuilibrator_API
CPPPGO,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,,-353.0,eQuilibrator_API
DB4PS,ru5p__D_c --> db4p_c + for_c + h_c,Cgl1595,-89.6,eQuilibrator_API
DBTS,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,Cgl2605,2.0,eQuilibrator_API
DHFR,dhf_c + h_c + nadph_c --> nadp_c + thf_c,Cgl0843,-18.1,eQuilibrator_API
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,Cgl2375,-21.0,eQuilibrator_API
DHPS2_num1,4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c,Cgl1111,-65.0,eQuilibrator_API
DHPTPE,ahdt_c --> dhmptp_c,Cgl2693,-17.0,eQuilibrator_API
DMATT_num1,dmpp_c + ipdp_c --> grdp_c + ppi_c,Cgl0626,-82.3,eQuilibrator_API
DMPPS,h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,Cgl1026,-61.6,eQuilibrator_API
DPCOAK,atp_c + dpcoa_c --> adp_c + coa_c + h_c,Cgl1361,3.1,eQuilibrator_API
DPR,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,Cgl1089,-15.2,eQuilibrator_API
DXPRIi,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,Cgl2016,-12.2,eQuilibrator_API
DXPS,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,Cgl1902,-27.7,eQuilibrator_API
FMNAT,atp_c + fmn_c + h_c --> fad_c + ppi_c,Cgl1978,-9.0,eQuilibrator_API
G1SAT,glu1sa_c --> 5aop_c,Cgl0437,-9.5,eQuilibrator_API
GDPDPK,atp_c + gdp_c --> amp_c + h_c + ppgpp_c,Cgl1177,-12.0,eQuilibrator_API
GDPTPDP,gdptp_c + h2o_c --> gtp_c + ppi_c,Cgl1313,-38.0,eQuilibrator_API
GLUCYS,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c,Cgl2736,-36.0,eQuilibrator_API
GLYOD,glyclt_c + o2_c --> glx_c + h2o2_c,Cgl2315,-88.0,eQuilibrator_API
