Gene id,SRR19091940,SRR19091945,SRR19091944,SRR19091943,SRR19091942,SRR19091941
Cgl1747,2.290308547735604,1.18046161729849,1.170388044504323,4.328132569096035,3.9204790777340217,2.2499961620472138
Cgl1748,2.452950724131456,2.7080931441603284,1.2858937520282718,4.358279165987766,4.528042585364847,2.7205030343001946
Cgl1749,1.9427963537310533,1.75268192173392,1.9728463576501207,2.778654188847734,2.9730282029070043,2.1242568006873785
Cgl1750,1.2141100709158557,1.7469707680882298,1.8422800939822728,2.7397875534421194,3.1680073661087573,2.146190399462991
Cgl1751,1.7644769411560517,2.114056112336133,1.2447888525163548,3.1045764133067477,3.538649012442875,2.9136008696469844
Cgl1752,2.0294565132110765,2.4949057311994456,2.6516059157453986,3.42938380878237,3.415839619432434,3.0821118662496225
Cgl1753,4.166431728471487,3.150316655822833,3.24729544927118,4.323605412716285,4.516327553552382,3.90536520346576
Cgl1754,2.2332850896641707,2.8155863833197783,2.700328601771855,4.3823863920529975,4.09528390712607,3.2167409251192884
Cgl1755,0.8986631639738702,0.8380378589380845,0.9455806705232492,0.9575600071720112,1.3870072019490196,0.6681084925051403
Cgl1756,2.406280063214445,2.819683075796382,2.4733996212677347,3.1733847307774066,2.5443469574398634,2.5428365431359747
Cgl1757,0.8681901912726412,0.0,1.2718746819123066,2.640105157267457,2.84199914582353,1.9998759976878064
Cgl1758,2.854698018317138,2.8810460152771062,2.9407237101179344,5.7323996930785786,5.702653569839723,3.869329658357679
Cgl1759,2.317743444029773,1.789296976148656,2.777275026697104,4.386915521682373,4.43335087812514,2.4420314771945955
Cgl1760,1.9410053394704816,1.463840687380805,1.8071644529021789,3.010209576112748,2.882636059624476,1.9994635948933168
Cgl1761,1.944808973884056,1.5746326490551863,2.62205874285637,3.559809364658886,3.711362757628808,2.6929526302797338
Cgl1762,0.9634415657203674,0.0,2.342198296618511,2.959166607333757,1.3663106655862165,1.4469005346443942
Cgl1763,2.9004655328228366,2.126723244230034,2.4207731241745902,3.709520954639973,3.888697732199588,1.8147800991608007
Cgl1764,3.3377867693003167,1.9986144396091432,2.568377345049338,4.208149469409393,4.242050372215064,3.279959601451819
Cgl1765,2.237325787213906,2.914071446469056,2.9444030844537474,3.5184367612919547,3.4457638308181333,2.5436327813249626
Cgl1766,1.986093237692827,2.7241670895684256,1.8230280311114788,3.316606676822848,3.1780555138110964,2.433824406219481
Cgl1767,2.060568536338032,2.761284037656305,2.136726672885564,3.2925616163605063,4.070895527237883,0.443813428199261
Cgl1768,1.8407378182337304,2.673041560144619,2.4397913698272933,3.9852640856776063,4.904587439229421,1.7423878524989045
Cgl1769,2.6067589653512404,3.8629522643799663,3.7137797749711146,5.546483651702236,5.666978395409116,2.029953267768389
Cgl1770,4.803053288166471,4.869528382759908,5.392057108631977,6.442190837586423,6.529197881867603,4.555846568723863
Cgl1771,3.258491151681847,2.9436493554166723,2.661038914145033,2.39107455763894,3.1712132692334647,3.3153188369513766
Cgl1772,7.702885331852523,6.2776034002022,6.521081105312269,7.6776372639584896,7.521100568071965,7.987548109975031
Cgl1773,4.554146958168352,4.951925415291039,4.528712216717871,4.947742427478757,4.992305539027797,4.811465065937453
Cgl1774,1.9016050030283569,1.9447118973465805,2.7286280641647336,2.7309885091704524,2.347967209390898,1.993983598942824
Cgl1775,2.7408011091857136,2.9161058742723154,2.58281453235745,3.846826634068688,3.8986172187170687,2.893277285879917
Cgl1776,5.560657936622921,4.855240069577363,5.561694410698824,6.13974009248463,5.556756662359784,5.562164464719625
Cgl1777,5.390643829064257,5.711782255231272,5.913033381076063,6.025494623541203,5.651772137047991,5.432188459834221
Cgl1778,4.825843301911133,5.9495083234818384,5.987349791350659,5.320550688290159,5.328302475889776,4.967155000468632
Cgl1779,4.784575591240587,4.2290371407916565,3.7259017632220544,6.478036079189392,6.533326639145787,4.692284949342505
Cgl1780,4.444164322273768,4.811999218431869,4.338971429959227,5.7017804871672855,5.772643142771663,4.072111105673375
Cgl1781,6.3016870746419285,6.142055411957895,5.685713072277602,5.929788015563452,6.210029825477625,6.325629303972807
Cgl1782,6.610279106572447,4.78829604683088,3.943293687549129,5.262045749044159,5.12325630279678,5.902427883417985
Cgl1783,4.778937062700443,6.438937187475688,4.692988108870116,6.517864331745589,6.846973926475768,5.408725968429849
Cgl1784,4.807513318684169,7.210802079844228,6.0102374325724535,4.157590789892872,4.772747293128012,5.30822510639787
Cgl1785,2.7858797896380385,3.3183146064504414,3.748420021383165,3.801466434996696,4.851991030935405,2.356467617752787
Cgl1786,3.0633641244147043,3.863160501863777,3.7088299402916505,5.344223402712242,5.387179163457733,3.2449344615593168
Cgl1787,3.5991944481541296,3.739857862678469,3.439703140810262,5.471623718506821,5.288506401490377,4.251581225323496
Cgl1788,2.8666030828699087,3.1716179478914235,2.6074102324820525,4.8202633224112885,4.40818520234314,2.8362588884760065
Cgl1789,3.504353188212648,2.7105645409057324,2.334941440148504,4.434646402035272,4.466688413191188,3.1387159367363897
Cgl1790,2.6603776131532784,3.6567977542723127,2.512466463746029,3.7136475116255454,3.9499534632325495,3.563422442157417
Cgl1791,2.284779879781196,2.3315024829647184,1.8863042703906483,3.2390881998693164,3.4128783979429342,1.948244735437384
Cgl1792,2.6811631054652967,2.4985820544424384,2.2713704927747385,4.432787164776285,4.353918836124024,2.02653253691274
Cgl1793,2.780505268466701,1.1997034310360724,1.5006381545394027,2.347513024538868,2.6932308712291766,2.663161121955661
Cgl1794,5.424800841501299,3.5038431099702634,3.813769929605484,5.69773013507269,5.658238537768804,5.100019071828979
Cgl1795,2.7025097384089203,3.2682329605788767,3.1463195353881948,4.015791292895301,4.169179068968329,2.340276814395976
Cgl1796,3.089934903772724,2.9110190798791384,3.414193654672708,3.253599988074261,3.0857827823049533,3.3039046911203216
Cgl1797,3.122462975167265,3.396876982218848,3.0402020982110383,3.5117845524623803,2.8881151563501324,3.5649005894586905
Cgl1798,3.735176777442309,2.678253108215864,2.4448331569974138,3.755230433964672,3.2920034636941367,3.607718235961786
Cgl1799,2.991276030517908,3.289150536988588,3.101453562463956,5.324544891035817,5.3476666631537615,3.42779836781556
Cgl1800,1.4817098276548653,0.8302024062431527,0.596615760837311,1.8019109578226105,1.6931843603037255,0.8595296897442111
Cgl1801,2.915210949080077,3.400408025042478,2.854202185502533,5.018249131192374,4.91711885280988,3.458274824881695
Cgl1802,2.6479508638053173,1.368756621976085,1.3577060905595366,3.949854430602192,3.854305266072645,2.6641237978725107
Cgl1803,4.306440389323859,2.695560538263156,3.4988199301326417,3.87770409678021,3.5374184986620247,4.676903328293763
