geneid,cond1,cond2,cond3,cond4,cond5,cond6
Cgl1113,7.91,5.2,2.98,27.75,23.38,8.16
Cgl1114,46.07,15.95,48.18,81.52,92.99,52.84
Cgl1115,94.91,86.33,105.02,553.52,490.04,278.45
Cgl1116,112.11,75.77,139.96,473.28,489.21,265.45
Cgl1117,253.33,187,260.16,1028.99,1523.42,644.43
Cgl1118,120.05,74.65,117.25,1187.61,1674.03,517.04
Cgl1119,61.86,21.98,40.11,122.1,153.46,46.67
Cgl1120,183.05,123.54,145.84,567.14,434.49,284.89
Cgl1121,76.94,34.28,66.15,211,135.73,106.59
Cgl1122,17.3,15.93,30.85,71.63,72.09,35.77
Cgl1123,122.02,81.61,105.79,200.62,221.62,131.28
Cgl1124,60.54,37.75,51.2,110.2,85.8,42.99
Cgl1125,51.19,25.7,52.5,106.18,109.58,61.87
Cgl1126,12.27,6.82,7.39,69.31,51.32,46.8
Cgl1127,9.44,4.81,5.77,23.97,19.84,13.27
Cgl1128,180.03,74.93,120.91,179.74,325.02,65.37
Cgl1129,1176.16,912.39,1225.33,1919.35,2035.75,930.9
Cgl1130,53.2,44.7,62.35,66.53,65.29,38.32
Cgl1131,151.91,116.6,181.65,537.25,541.43,363.04
Cgl1132,73.44,37.85,76.82,920.3,826.25,244.77
Cgl1133,19.61,12.63,24.32,102.8,120.79,33.44
Cgl1134,17.13,6.83,18.56,46.99,74.15,22.83
Cgl1135,102.6,67.1,127.21,425.17,426.8,207.79
Cgl1136,55.62,21.88,41.37,539.07,368.82,281.58
Cgl1137,3.85,3.96,6.65,23.13,16.24,19.38
Cgl1138,3.47,3.04,7.49,8.91,10.57,15.47
Cgl1139,43.59,42.38,64.19,76.07,149.74,48.86
Cgl1140,19.9,8.21,15.86,802.15,937.78,215.97
Cgl1141,4.47,2.91,4.04,6.7,8.44,5
Cgl1142,1.87,3.82,1.13,0,0.55,0
Cgl1143,19.75,15.93,17.02,17.25,18.93,10.01
Cgl1144,72.25,36.18,73.12,146.36,81.67,95.05
Cgl1145,418.83,246.18,385.63,295.78,86.53,160.01
Cgl1147,114.33,104.52,127.83,24.39,15.49,13.09
Cgl1148,195.45,170.02,199.04,25.81,17.23,10.05
Cgl1149,501.46,564.23,547.08,50.23,35.15,42.19
Cgl1150,329.68,286.36,344.88,46,35.49,32.38
Cgl1151,4.33,3.55,4.1,6.84,9.6,3.18
Cgl1153,3.09,0,1.39,5.62,7.75,2.29
Cgl1154,6.2,2.33,4.53,7.1,7.33,5.26
Cgl1155,8.4,7.62,13.34,15.27,17.84,7.46
Cgl1156,276.38,213.07,237.57,1012.15,1088.01,430.78
Cgl1157,4.13,1.55,0.8,3.23,1.05,0.73
Cgl1158,0.64,0,0.81,12.51,15.08,3.48
Cgl1159,2.47,2,1.89,18.71,19.39,14.69
Cgl1160,8.72,6.84,6.63,23.2,21.36,18.29
Cgl1161,15.9,10.55,12.81,202.26,306.34,98.33
Cgl1162,0.75,1.64,0.34,2.05,1.66,0.19
