reactions,kcat
ALCD2x_reverse_num1,4.397333467
NNDMBRT,4.394741885
EAR80x,4.379521648
EAR80y,4.379521648
MOCOS_num2,4.364763907
FA160ACPHi_num1,4.364763907
ACPPAT140,4.364763907
AGPAT141,4.364763907
SSALy_num2,4.364763907
AACPS2_num3,4.364763907
G3PAT141_num1,4.364763907
PANTS_num2,4.364763907
MOCOS_num3,4.364763907
UPPRT_num2,4.349051908
PGP160abcpp_num1,4.349051908
XTSNH_num2,4.349051908
FACOAL161t2pp_num1,4.256950699
MPTG2_num1,4.256283199
EAR141y,4.211842888
EAR141x,4.211842888
TRDR,4.208269264
GLUNATF_reverse,4.207657032
GMPS2,4.199844944
UAGAAT_num2,4.190330595
OMPDC,4.18671895
3OAR40_reverse,4.18671895
SDPDS,4.184290084
HSK,4.184290084
XTSNH_num3,4.17915257
FDH5pp_num2,4.17915257
FDH4pp_num2,4.17915257
EAR40y,4.172684879
EAR40x,4.172684879
EAR60y,4.160234663
EAR60x,4.160234663
G3PEabcpp,4.157139305
G3PCabcpp,4.157139305
G3PAT181_num1,4.157139305
AACPS5_num3,4.071080595
ACPS1_num1,4.071080595
EAR181x,4.033287916
EAR181y,4.033287916
GTHRDHpp,4.019302448
GAMptspp,4.003173613
GLCP2_num1,4.003173613
GLCATr,4.003173613
CSND,3.988596982
GPDDA2,3.980646275
G3PIabcpp,3.980646275
AGPAT120,3.962805676
FA140ACPHi_num1,3.962805676
AACPS2_num2,3.962805676
DHPS2_num2,3.962805676
BWCOS_num3,3.962805676
BWCOS_num2,3.962805676
G3PAT120_num1,3.962805676
EAR180y,3.934397712
EAR180x,3.934397712
ALATA_L2,3.929049619
XANt2pp_num1,3.929049619
NNATr_reverse,3.923837239
DHFR,3.922950592
EAR160y,3.922673343
EAR160x,3.922673343
ACCOAC_num1,3.922378199
GLYCK2,3.907421821
BMOCOS_num3,3.896113435
ACPPAT181,3.896113435
BMOCOS_num2,3.896113435
ACPS1_num2,3.896113435
FA120ACPHi_num1,3.896113435
ALCD19_num3,3.896113435
GNK_num2,3.896113435
DASYN180,3.896113435
MOHMT,3.894303668
FACOAL140t2pp_num1,3.84449078
FACOAL160t2pp_num1,3.836318234
ILEt2rpp,3.8316121
LEUt2rpp_num1,3.8316121
ADSL1r_reverse,3.8316121
ALATRS_num1,3.815610794
PMPK,3.79507642
FACOAL141t2pp_num1,3.787306319
THRS,3.780433675
ACPPAT120,3.757622976
FA141ACPHi_num1,3.757622976
AGPAT140,3.757622976
G3PAT140_num1,3.757622976
GRTT_num2,3.757622976
GTPDPDP_num2,3.757622976
DMATT_num2,3.757622976
G3PAT120_num5,3.753537738
PRPPS,3.753537738
G3PAT140_num4,3.753537738
G3PAT140_num2,3.753537738
G3PAT140_num3,3.753537738
FACOAL181t2pp_num1,3.748888365
5FTHFC,3.712622561
TKT2,3.712622561
DHORTS,3.712622561
PA141abcpp_num2,3.712622561
UPPRT_num1,3.691401984
CYANSTpp_num4,3.691401984
FRUK,3.584607431
FACOAL60t2pp_num1,3.556733101
HXCT,3.556733101
PYDXNK,3.539443916
XTSNH_num1,3.533090761
FACOAL180t2pp_num1,3.531767718
CYSTL,3.522693505
DHDPS,3.522693505
HSDy,3.522693505
ADOCBLS,3.521089531
FACOAL80t2pp_num1,3.493627665
OCTDPS,3.493627665
AACPS1_num3,3.493627665
SERTRS2,3.481304129
MAN1PG_reverse,3.45521006
SPMDAT1,3.435945843
ACOAD2f_reverse,3.435945843
PHETA1_reverse_num1,3.435945843
VALt2rpp_reverse,3.435945843
G3PAT160_num4,3.435945843
TRPt2rpp_reverse,3.435945843
LEUt2rpp_reverse_num1,3.435945843
ACGS,3.435945843
ACOAD8f,3.435945843
G3PAT181_num3,3.435945843
AHCYSNS,3.435945843
SPMDAT2_num1,3.435945843
PHETA1_num1,3.435945843
3OAR120_reverse,3.389299853
3OAR100_reverse,3.389299853
FTHFD,3.368659884
MTHFC,3.368659884
RNTR3c,3.368659884
MTHFD,3.368659884
PGSA140,3.361813796
PGSA141,3.361813796
PGSA160,3.361813796
PGSA161,3.361813796
PGSA180,3.361813796
G3PT,3.361813796
G3PD2,3.361813796
FDH5pp_num1,3.361813796
DHPPDA2_num2,3.361813796
ACPS1_num3,3.361813796
DASYN181,3.361813796
MSDHD_num2,3.361813796
PGSA120,3.361813796
GNK_num1,3.346412864
DHPS2_num1,3.341555311
AACPS9_num2,3.341555311
NNDPR,3.341555311
TYRL,3.341555311
AACPS9_num3,3.341555311
GLYOD,3.341555311
PNTK,3.340752928
AACPS4_num2,3.307973996
UAGPT3,3.307973996
LIPOS,3.306526084
UREAAH,3.28572181
G3PGabcpp,3.27403979
GPDDA3,3.27403979
SPMS,3.258987069
DBTS,3.247145572
CS_num2,3.211472768
GLU5K,3.211472768
MCOATA_reverse_num1,3.211472768
GDPTPDP,3.211472768
OCBT_reverse,3.211472768
ACLS,3.211472768
SHK3Dr_num1,3.211472768
HISTD,3.211472768
PGCD,3.211472768
MTHFR2,3.211472768
FMETTRS_num1,3.211472768
3OAR140_reverse,3.211472768
G3PAT120_num4,3.211472768
IG3PS,3.179707355
GAPD_num1,3.16481468
DHNCOAS,3.160674569
AACPS8_num2,3.160674569
PYDXK,3.134785966
SHKK,3.126232873
AKGDH,3.126232873
ASPTA,3.126232873
ABTA,3.126232873
FACOAL160t2pp_num2,3.126232873
LDH_D_reverse,3.126232873
TMPPP_num1,3.126232873
TMDS2,3.126232873
GLUN,3.126232873
GLUDy,3.126232873
RZ5PP,3.08361848
DAPDC_num1,3.045890679
AGPR,3.040541007
GLYTRS_num1,3.038311049
ASNS2,3.02738016
PRAIS,3.02738016
LDH,3.02738016
ADPT,3.023661516
PYDAMK,3.020840858
PPND,3.01411345
GLYCK,2.989324285
FBP,2.967245997
LPLIPAL1A180pp_num2,2.959740721
TRPt2rpp,2.942759864
TMDS,2.942759864
XYLUt2pp,2.925327475
CYANSTpp_num1,2.877908393
MANptspp,2.866867848
HSST_num1,2.866867848
ACKr_reverse,2.86593134
3NTD9pp,2.833044145
FRD2,2.816773278
FRD3,2.816773278
PPNCL2,2.816773278
IPMD,2.816773278
FUM,2.816773278
NADH18pp,2.804277536
U23GAAT_num3,2.804277536
NADH17pp,2.804277536
METAT,2.795893553
GTHOr,2.785330727
FCLT,2.785330727
SUCptsp,2.783505408
GAPD_num2,2.75613481
MDDCP5pp,2.75613481
GLCP2_num2,2.75613481
HSTPT_num2,2.75613481
LGTHL,2.75613481
PAPPT3,2.711660527
PRATPP,2.709708013
BPNT,2.709708013
GALUi_num2,2.709708013
UAMDH_num2,2.709708013
GPDDA4,2.699048111
URAt2rpp_num1,2.647118141
GLCP_num1,2.644307853
GALUi_num1,2.644307853
AACPS4_num3,2.644307853
G1PTT,2.644307853
DHPTDNRN,2.612917587
MI2DH_num4,2.6067766
DHORD2,2.6067766
MI2DH_num3,2.6067766
L_LACD2,2.6067766
U23GAAT_num2,2.6067766
FDH4pp_num1,2.6067766
G3PD5,2.6067766
LDH_D2,2.6067766
NADH10,2.6067766
MDH_reverse,2.60462829
PPTHpp,2.590345512
LIPATPT,2.571943159
MCITL2_reverse_num1,2.475273573
FRUURt2rpp,2.438518479
FUMt2_2pp,2.438518479
GALKr,2.423687652
AMAOTr,2.421338518
SEPHCHCS,2.400044869
HISTP,2.399798994
DHFR_reverse,2.389345876
FACOAL161t2pp_num2,2.339863148
U23GAAT_num5,2.334378212
ASAD,2.334378212
PAPSR,2.300399638
CTBTt2rpp_reverse,2.288113879
UDPGD_num1,2.288113879
UDPGPpp_num1,2.288113879
HXPRT_num1,2.284038813
DHORTS_reverse,2.281342134
DHNCOAT,2.24585072
ACOAD8f_reverse,2.198879436
ACOAD7f_reverse,2.198879436
TRATF_num1,2.180109109
ADNK1,2.179703208
MSDHD_num1,2.16503765
OHPBAT_reverse,2.149350797
ACOAD6f,2.148047995
CYANSTpp_num3,2.146932734
ADPRDP,2.146932734
GSNHYDRO_num1,2.146932734
GUAPRT,2.146932734
G1PTT_reverse,2.146932734
WCOS_num1,2.146932734
PYK_num1,2.146932734
ACACT1r_reverse,2.146932734
RNTR4c,2.146932734
ACOAD5f,2.123478322
ACBIPGT,2.116736646
ASPK,2.111409281
SDPTA,2.111409281
PROD2,2.088588777
CPPPGO2,2.061226682
AGPR_reverse,2.061226682
AP5AH,2.059121283
ACOAD3f,2.053267454
NNAM,2.046659155
AMAOTr_reverse,2.045490295
MI1PP_num2,2.030513694
BMOCOS_num1,2.030513694
MEPCT,2.030513694
FACOAL60t2pp_num2,2.030513694
FA120ACPHi_num2,2.030513694
FA141ACPHi_num2,2.030513694
ADNUC_num1,2.007794284
3NTD7pp,2.007794284
ASPK_reverse,2.007794284
ASAD_reverse,2.007794284
UAMDH_num1,1.992181027
ACOAD4f,1.957009258
DALAt2pp,1.936652018
ADOCBIK,1.915274854
GTHOr_reverse,1.888356616
RBFK,1.865002083
ACOAD1f,1.864205411
