regulator,target,sign,data_type
Cgl0420,Cgl0424,1,CoryNeRegNet
Cgl0420,Cgl0420,1,CoryNeRegNet
Cgl0445,Cgl0996,1,CoryNeRegNet
Cgl0478,Cgl0479,-1,CoryNeRegNet
Cgl0478,Cgl0480,-1,CoryNeRegNet
Cgl0478,Cgl0481,-1,CoryNeRegNet
Cgl0554,Cgl0544,-1,CoryNeRegNet
Cgl0554,Cgl0545,-1,CoryNeRegNet
Cgl0554,Cgl0547,-1,CoryNeRegNet
Cgl0554,Cgl0551,-1,CoryNeRegNet
Cgl0554,Cgl0546,-1,CoryNeRegNet
Cgl0554,Cgl0548,-1,CoryNeRegNet
Cgl0554,Cgl0549,-1,CoryNeRegNet
Cgl0554,Cgl0550,-1,CoryNeRegNet
Cgl0554,Cgl0552,-1,CoryNeRegNet
Cgl0554,Cgl0553,-1,CoryNeRegNet
Cgl0599,Cgl0768,1,CoryNeRegNet
Cgl0599,Cgl3090,-1,CoryNeRegNet
Cgl0606,Cgl0605,1,CoryNeRegNet
Cgl0612,Cgl1171,1,CoryNeRegNet
Cgl0612,Cgl2778,1,CoryNeRegNet
Cgl0612,Cgl2995,1,CoryNeRegNet
Cgl0612,Cgl0376,1,CoryNeRegNet
Cgl0612,Cgl0377,1,CoryNeRegNet
Cgl0612,Cgl0610,1,CoryNeRegNet
Cgl0612,Cgl0611,1,CoryNeRegNet
Cgl0612,Cgl0612,1,CoryNeRegNet
Cgl0612,Cgl0613,1,CoryNeRegNet
Cgl0612,Cgl0679,1,CoryNeRegNet
Cgl0612,Cgl2779,1,CoryNeRegNet
Cgl0612,Cgl2797,1,CoryNeRegNet
Cgl0612,Cgl2839,1,CoryNeRegNet
Cgl0612,Cgl2840,1,CoryNeRegNet
Cgl0612,Cgl2949,1,CoryNeRegNet
Cgl0612,Cgl1172,1,CoryNeRegNet
Cgl0612,Cgl2188,-1,CoryNeRegNet
Cgl0612,Cgl2226,1,CoryNeRegNet
Cgl0612,Cgl2443,1,CoryNeRegNet
Cgl0612,Cgl2553,1,CoryNeRegNet
Cgl0612,Cgl2552,1,CoryNeRegNet
Cgl0612,Cgl2780,1,CoryNeRegNet
Cgl0612,Cgl2800,1,CoryNeRegNet
Cgl0612,Cgl2799,1,CoryNeRegNet
Cgl0612,Cgl2798,1,CoryNeRegNet
Cgl0612,Cgl2994,1,CoryNeRegNet
Cgl0612,Cgl2993,1,CoryNeRegNet
Cgl0627,Cgl0622,-1,CoryNeRegNet
Cgl0627,Cgl0623,-1,CoryNeRegNet
Cgl0627,Cgl0625,-1,CoryNeRegNet
Cgl0627,Cgl0626,-1,CoryNeRegNet
Cgl0627,Cgl0627,-1,CoryNeRegNet
Cgl0627,Cgl0621,-1,CoryNeRegNet
Cgl0627,Cgl0624,-1,CoryNeRegNet
Cgl0627,Cgl0620,-1,CoryNeRegNet
Cgl0641,Cgl0641,-1,CoryNeRegNet
Cgl0641,Cgl1434,-1,CoryNeRegNet
Cgl0641,Cgl0640,-1,CoryNeRegNet
Cgl0698,Cgl0659,1,CoryNeRegNet
Cgl0698,Cgl0657,1,CoryNeRegNet
Cgl0698,Cgl0658,1,CoryNeRegNet
Cgl0754,Cgl0892,1,CoryNeRegNet
Cgl0754,Cgl2188,-1,CoryNeRegNet
Cgl0754,Cgl2497,-1,CoryNeRegNet
Cgl0754,Cgl0751,1,CoryNeRegNet
Cgl0754,Cgl0911,-1,CoryNeRegNet
Cgl0754,Cgl0913,-1,CoryNeRegNet
Cgl0754,Cgl1423,1,CoryNeRegNet
Cgl0754,Cgl3066,1,CoryNeRegNet
Cgl0754,Cgl1474,1,CoryNeRegNet
Cgl0754,Cgl1724,1,CoryNeRegNet
Cgl0754,Cgl2532,1,CoryNeRegNet
Cgl0754,Cgl0102,1,CoryNeRegNet
Cgl0754,Cgl0858,1,CoryNeRegNet
Cgl0754,Cgl2520,1,CoryNeRegNet
Cgl0754,Cgl2530,1,CoryNeRegNet
Cgl0754,Cgl2836,-1,CoryNeRegNet
Cgl0754,Cgl0101,1,CoryNeRegNet
Cgl0754,Cgl0910,-1,CoryNeRegNet
Cgl0754,Cgl0912,-1,CoryNeRegNet
Cgl0754,Cgl1345,1,CoryNeRegNet
Cgl0754,Cgl1725,1,CoryNeRegNet
Cgl0754,Cgl1831,1,CoryNeRegNet
Cgl0754,Cgl1913,1,CoryNeRegNet
Cgl0754,Cgl0229,1,CoryNeRegNet
Cgl0754,Cgl0618,1,CoryNeRegNet
Cgl0754,Cgl0786,1,CoryNeRegNet
Cgl0754,Cgl0909,-1,CoryNeRegNet
Cgl0754,Cgl2531,1,CoryNeRegNet
Cgl0754,Cgl2942,1,CoryNeRegNet
Cgl0768,Cgl3090,1,CoryNeRegNet
Cgl0768,Cgl3091,1,CoryNeRegNet
Cgl0768,Cgl3092,1,CoryNeRegNet
Cgl0768,Cgl0279,1,CoryNeRegNet
Cgl0768,Cgl0599,1,CoryNeRegNet
Cgl0787,Cgl0787,-1,CoryNeRegNet
Cgl0787,Cgl0788,1,CoryNeRegNet
Cgl0787,Cgl0789,1,CoryNeRegNet
Cgl0857,Cgl0856,-1,CoryNeRegNet
Cgl0857,Cgl0857,-1,CoryNeRegNet
Cgl0857,Cgl0855,-1,CoryNeRegNet
Cgl0863,Cgl1581,-1,CoryNeRegNet
Cgl0863,Cgl1992,-1,CoryNeRegNet
Cgl0863,Cgl3007,-1,CoryNeRegNet
Cgl0863,Cgl1455,-1,CoryNeRegNet
Cgl0863,Cgl0075,-1,CoryNeRegNet
Cgl0863,Cgl0076,-1,CoryNeRegNet
Cgl0863,Cgl0085,-1,CoryNeRegNet
Cgl0863,Cgl0088,-1,CoryNeRegNet
Cgl0863,Cgl0090,-1,CoryNeRegNet
Cgl0863,Cgl0183,-1,CoryNeRegNet
Cgl0863,Cgl0184,-1,CoryNeRegNet
Cgl0863,Cgl0931,-1,CoryNeRegNet
Cgl0863,Cgl0933,-1,CoryNeRegNet
Cgl0863,Cgl1582,-1,CoryNeRegNet
Cgl0863,Cgl1952,-1,CoryNeRegNet
Cgl0863,Cgl1990,-1,CoryNeRegNet
Cgl0863,Cgl1991,-1,CoryNeRegNet
Cgl0863,Cgl2060,-1,CoryNeRegNet
Cgl0863,Cgl2079,-1,CoryNeRegNet
Cgl0863,Cgl2214,-1,CoryNeRegNet
Cgl0863,Cgl1456,-1,CoryNeRegNet
Cgl0863,Cgl0086,-1,CoryNeRegNet
Cgl0863,Cgl0087,-1,CoryNeRegNet
Cgl0863,Cgl0930,-1,CoryNeRegNet
Cgl0863,Cgl0934,-1,CoryNeRegNet
Cgl0863,Cgl1583,-1,CoryNeRegNet
Cgl0863,Cgl0932,-1,CoryNeRegNet
Cgl0863,Cgl1144,-1,CoryNeRegNet
Cgl0863,Cgl1145,-1,CoryNeRegNet
Cgl0863,Cgl1950,-1,CoryNeRegNet
Cgl0863,Cgl1951,-1,CoryNeRegNet
Cgl0863,Cgl1953,-1,CoryNeRegNet
Cgl0863,Cgl1993,-1,CoryNeRegNet
Cgl0863,Cgl0084,-1,CoryNeRegNet
Cgl0863,Cgl0089,-1,CoryNeRegNet
Cgl0863,Cgl2061,-1,CoryNeRegNet
Cgl0863,Cgl0185,-1,CoryNeRegNet
Cgl0863,Cgl1106,-1,CoryNeRegNet
Cgl0863,Cgl2059,-1,CoryNeRegNet
Cgl0871,Cgl0870,-1,CoryNeRegNet
Cgl0871,Cgl0871,-1,CoryNeRegNet
Cgl0906,Cgl0906,-1,CoryNeRegNet
Cgl0906,Cgl0907,-1,CoryNeRegNet
Cgl0923,Cgl0924,-1,CoryNeRegNet
Cgl0923,Cgl0923,-1,CoryNeRegNet
Cgl0949,Cgl0947,1,CoryNeRegNet
Cgl0949,Cgl0949,1,CoryNeRegNet
Cgl0949,Cgl0946,1,CoryNeRegNet
Cgl0949,Cgl0948,1,CoryNeRegNet
Cgl0982,Cgl0370,-1,CoryNeRegNet
Cgl0982,Cgl0372,-1,CoryNeRegNet
Cgl0982,Cgl1186,-1,CoryNeRegNet
Cgl0982,Cgl1188,-1,CoryNeRegNet
Cgl0982,Cgl1185,-1,CoryNeRegNet
Cgl0982,Cgl1315,-1,CoryNeRegNet
Cgl0982,Cgl2402,-1,CoryNeRegNet
Cgl0982,Cgl0374,-1,CoryNeRegNet
